n,logn,requested_qbits,actual_qbits,limb_bits,limb_bytes,limb_type,iters,validation,ntt_mean_us,ntt_std_us,intt_mean_us,intt_std_us,poly_mul_mean_us,poly_mul_std_us
8192,13,32,30,30,4,u32,800,pass,57.4244,2.19962,61.4405,1.31618,181.228,4.745
8192,13,64,62,62,8,u64,800,pass,58.0589,1.04329,64.7367,1.18911,190.245,2.13851
8192,13,128,124,62,8,u64,800,pass,120.729,6.81789,133.568,3.82733,387.153,4.96932
16384,14,32,30,30,4,u32,800,pass,122.671,5.39781,129.392,1.94709,390.535,25.4803
16384,14,64,62,62,8,u64,800,pass,134.66,51.1197,143.056,3.64718,410.371,11.518
16384,14,128,124,62,8,u64,800,pass,247.499,8.53015,290.537,3.87251,831.082,10.4088
32768,15,32,30,30,4,u32,800,pass,254.265,3.38116,286.147,4.41699,817.86,17.7316
32768,15,64,62,62,8,u64,800,pass,267.046,39.8062,306.363,8.13786,874.429,24.6811
32768,15,128,124,62,8,u64,800,pass,514.267,18.7823,611.04,30.1741,1780.03,52.1892
65536,16,64,62,62,8,u64,200,pass,554.246,5.59439,642.903,6.33013,1838.59,29.7354
65536,16,128,124,62,8,u64,200,pass,1124.7,27.117,1381.6,46.5223,3785.76,62.4839
131072,17,64,62,62,8,u64,200,pass,1173.57,22.1556,1366.9,68.97,3994.48,247.988
131072,17,128,124,62,8,u64,200,pass,2497.3,44.783,3031.29,113.172,8553.39,122.45
262144,18,64,62,62,8,u64,50,pass,2614.04,18.4642,4202.42,80.0467,10011.2,221.14
262144,18,128,124,62,8,u64,50,pass,5516.83,83.9223,8937.27,189.587,20880.3,267.842
524288,19,64,62,62,8,u64,50,pass,5926.84,225.955,10603.5,213.484,23712.9,425.486
524288,19,128,124,62,8,u64,50,pass,13838,1405.97,22340.4,218.498,50932,229.051
1048576,20,64,62,62,8,u64,12,pass,14339.7,1220.55,23156.5,73.0851,53685.8,233.276
1048576,20,128,124,62,8,u64,12,pass,32329.8,1545.1,48085.5,192.353,111707,1166.28
